headword,pronunciation,Pron
Acantopterigios,a ˌ k a n̪ t o p t e ˈ ɾ i x j o s,a ˌ k a n̪ t o p t e ɾ I x j o s
Acanturos,a ˌ k a n̪ ˈ t u ɾ j o s,a ˌ k a n̪ t U ɾ j o s
Acantáceo,a ˌ k a n̪ ˈ t a s e o,a ˌ k a n̪ t A s e o
Acantáceo,a ˌ k a n̪ ˈ t a θ e o,a ˌ k a n̪ t A θ e o
Acapulco,a k a ˈ p u l k o,a k a p U l k o
Acarregui,a k a ˈ r e ɣ i,a k a r E ɣ i
Acarreta,a k a ˈ r e t a,a k a r E t a
Acarrolaea,a k a r o l a ˈ e a,a k a r o l a E a
Acasuso,a k a ˈ s u s o,a k a s U s o
Acasusso,a k a ˈ s u s o,a k a s U s o
Acayeta,a k a ˈ ʝ e t a,a k a ʝ E t a
Acayeta,a k a ˈ ʎ e t a,a k a ʎ E t a
Accra,ˈ a k k r a,A k k r a
Acea,a ˈ s e a,a s E a
Acea,a ˈ θ e a,a θ E a
Acebal,a θ e ˈ β a l,a θ e β A l
Acebal,a s e ˈ β a l,a s e β A l
Acebedo,a s e ˈ β e ð o,a s e β E ð o
Acebedo,a θ e ˈ β e ð o,a θ e β E ð o
Acedo,a ˈ s e ð o,a s E ð o
Acedo,a ˈ θ e ð o,a θ E ð o
Aceguinolasa,a θ e ɣ i n o ˈ l a s a,a θ e ɣ i n o l A s a
Aceguinolasa,a s e ɣ i n o ˈ l a s a,a s e ɣ i n o l A s a
Aceguiñolaza,a s e ɣ i ɲ o ˈ l a s a,a s e ɣ i ɲ o l A s a
Aceguiñolaza,a θ e ɣ i ɲ o ˈ l a θ a,a θ e ɣ i ɲ o l A θ a
Aceituno,a θ e j ˈ t u n o,a θ e j t U n o
Aceituno,a s e j ˈ t u n o,a s e j t U n o
Aceitón,a θ e j ˈ t o n,a θ e j t O n
Aceitón,a s e j ˈ t o n,a s e j t O n
Acela,a ˈ θ e l a,a θ E l a
Acela,a ˈ s e l a,a s E l a
Acelain,a ˈ θ e l a j n,a θ E l a j n
Acelain,a ˈ s e l a j n,a s E l a j n
Aceldegui,a θ e l ˈ d e ɣ i,a θ e l d E ɣ i
Aceldegui,a s e l ˈ d e ɣ i,a s e l d E ɣ i
Aceme,a θ e ˈ m e,a θ e m E
Aceme,a s e ˈ m e,a s e m E
Acerecho,a s e ˈ ɾ e t ʃ o,a s e ɾ E t ʃ o
Acerecho,a θ e ˈ ɾ e t ʃ o,a θ e ɾ E t ʃ o
Acerete,a s e ˈ ɾ e t e,a s e ɾ E t e
Acerete,a θ e ˈ ɾ e t e,a θ e ɾ E t e
Acero,a ˈ θ e ɾ o,a θ E ɾ o
Acero,a ˈ s e ɾ o,a s E ɾ o
Acerra,a ˈ s e r a,a s E r a
Acerra,a ˈ θ e r a,a θ E r a
Acevedo,a s e ˈ β e ð o,a s e β E ð o
Acevedo,a θ e ˈ β e ð o,a θ e β E ð o
Aceña,a ˈ s e ɲ a,a s E ɲ a
Aceña,a ˈ θ e ɲ a,a θ E ɲ a
Acha,ˈ a t ʃ a,A t ʃ a
Achabal,a t ʃ a ˈ β a l,a t ʃ a β A l
Achaburu,a t ʃ a ˈ β u ɾ u,a t ʃ a β U ɾ u
Achaga,a ˈ t ʃ a ɣ a,a t ʃ A ɣ a
Achagavia,a t ʃ a ɣ a ˈ β j a,a t ʃ a ɣ a β j A
Achalandabaso,a t ʃ a l a n̪ d a ˈ β a s o,a t ʃ a l a n̪ d a β A s o
Achaqueta,a t ʃ a ˈ k e t a,a t ʃ a k E t a
Acharan,a ˈ t ʃ a ɾ a n,a t ʃ A ɾ a n
Acharte,a ˈ t ʃ a ɾ t e,a t ʃ A ɾ t e
Acharán,a t ʃ a ˈ ɾ a n,a t ʃ a ɾ A n
Achaval,a t ʃ a ˈ β a l,a t ʃ a β A l
Ache,ˈ a t ʃ e,A t ʃ e
Acheberria,a t ʃ e ˈ β e r j a,a t ʃ e β E r j a
Acheberría,a t ʃ e β e ˈ r j a,a t ʃ e β e r j A
Acheconanea,a t ʃ e k o n a ˈ n e a,a t ʃ e k o n a n E a
Achecua,a ˈ t ʃ e k w a,a t ʃ E k w a
Achega,a ˈ t ʃ e ɣ a,a t ʃ E ɣ a
Achegaray,a t ʃ e ɣ a ˈ ɾ a j,a t ʃ e ɣ a ɾ A j
Achegua,a ˈ t ʃ e ɣ w a,a t ʃ E ɣ w a
Acheita,a ˈ t ʃ e j t a,a t ʃ E j t a
Acheitia,a ˈ t ʃ e j t j a,a t ʃ E j t j a
Acheneguia,a t ʃ e ˈ n e ɣ j a,a t ʃ e n E ɣ j a
Achereteguy,a t ʃ e ɾ e t e ˈ ɣ u j,a t ʃ e ɾ e t e ɣ U j
Acheritegui,a t ʃ e ɾ i ˈ t e ɣ i,a t ʃ e ɾ i t E ɣ i
Acheriteguy,a t ʃ e ɾ i t e ˈ ɣ u j,a t ʃ e ɾ i t e ɣ U j
Acherito,a t ʃ e ˈ ɾ i t o,a t ʃ e ɾ I t o
Acheritobehere,a t ʃ e ɾ i t o β e ˈ e ɾ e,a t ʃ e ɾ i t o β e E ɾ e
Acheritogarai,a t ʃ e ɾ i t o ˈ ɣ a ɾ a j,a t ʃ e ɾ i t o ɣ A ɾ a j
Acheritogaray,a t ʃ e ɾ i t o ɰ a ˈ ɾ a j,a t ʃ e ɾ i t o ɰ a ɾ A j
Achero,a ˈ t ʃ e ɾ o,a t ʃ E ɾ o
Acherotogarai,a t ʃ e ɾ o t o ˈ ɣ a ɾ a j,a t ʃ e ɾ o t o ɣ A ɾ a j
Acheta,a t ʃ e t a,a t ʃ e t a
Achezaeta,a t ʃ e θ a ˈ e t a,a t ʃ e θ a E t a
Achezaeta,a t ʃ e s a ˈ e t a,a t ʃ e s a E t a
Achiaga,a ˈ t ʃ j a ɣ a,a t ʃ j A ɣ a
Achica-Allende,a ˈ t ʃ i k a a ˈ ʝ e n̪ d e,a t ʃ I k a a ʝ E n̪ d e
Achica-Allende,a ˈ t ʃ i k a a ˈ ʎ e n̪ d e,a t ʃ I k a a ʎ E n̪ d e
Achicaallende,a ˈ t ʃ i k a a ˈ ʝ e n̪ d e,a t ʃ I k a a ʝ E n̪ d e
Achicaallende,a ˈ t ʃ i k a a ˈ ʎ e n̪ d e,a t ʃ I k a a ʎ E n̪ d e
Achicallende,a ˈ t ʃ i k a ˈ ʝ e n̪ d e,a t ʃ I k a ʝ E n̪ d e
Achicallende,a ˈ t ʃ i k a ˈ ʎ e n̪ d e,a t ʃ I k a ʎ E n̪ d e
Achichuri,a t ʃ i ˈ t ʃ u ɾ i,a t ʃ i t ʃ U ɾ i
Achiga,a ˈ t ʃ i ɣ a,a t ʃ I ɣ a
Achirica,a ˈ t ʃ i ɾ i k a,a t ʃ I ɾ i k a
Achiricalandacoa,a t ʃ i ɾ i k a ˌ l a n̪ ð a ˈ k o a,a t ʃ i ɾ i k a ˌ l a n̪ ð a k O a
Achitia,a ˈ t ʃ i t j a,a t ʃ I t j a
Achizaeta,a t ʃ i s a ˈ e t a,a t ʃ i s a E t a
Achizaeta,a t ʃ i θ a ˈ e t a,a t ʃ i θ a E t a
Achkabad,a x k a ˈ β a ð,a x k a β A ð
Achman,ˈ a x m a n,A x m a n
Achmán,a x ˈ m a n,a x m A n
Acho,ˈ a t ʃ o,A t ʃ o
Achoaran,a t ʃ o ˈ a ɾ a n,a t ʃ o A ɾ a n
Achondo,a ˈ t ʃ o n̪ d o,a t ʃ O n̪ d o
Achordoqui,a t ʃ o ɾ ˈ ð o k i,a t ʃ o ɾ ð O k i
Achorvea,a ˈ t ʃ o ɾ β e a,a t ʃ O ɾ β e a
Achotegui,a t ʃ o ˈ t e ɣ i,a t ʃ o t E ɣ i
Achua,ˈ a t ʃ w a,A t ʃ w a
Achucarro,a t ʃ u ˈ k a r o,a t ʃ u k A r o
Achurdi,a ˈ t ʃ u ɾ ð i,a t ʃ U ɾ ð i
Achuri,a ˈ t ʃ u ɾ i,a t ʃ U ɾ i
Achurica,a ˈ t ʃ u ɾ i k a,a t ʃ U ɾ i k a
Achurra,a ˈ t ʃ u r a,a t ʃ U r a
Achurraaguirre,a ˌ t ʃ u ɾ a ˈ ɣ i r e,a ˌ t ʃ u ɾ a ɣ I r e
Achurrabeitia,a ˌ t ʃ u ɾ a ˈ β e j t a,a ˌ t ʃ u ɾ a β E j t a
Achustegui,a t ʃ u s ˈ t e ɣ i,a t ʃ u s t E ɣ i
Achustegui-Echarte,a t ʃ u s ˈ t e ɣ i e ˈ t ʃ a ɾ t e,a t ʃ u s t E ɣ i e t ʃ A ɾ t e
Achutegui,a t ʃ u ˈ t e ɣ i,a t ʃ u t E ɣ i
Aciendegui,a s j e n̪ ˈ ð e ɣ i,a s j e n̪ ð E ɣ i
Aciendegui,a θ j e n̪ ˈ ð e ɣ i,a θ j e n̪ ð E ɣ i
Acilu,a ˈ s i l u,a s I l u
Acilu,a ˈ θ i l u,a θ I l u
Acin,a ˈ θ i n,a θ I n
Acin,a ˈ s i n,a s I n
Acinsk,a ˈ z i n s k,a z I n s k
Acitain,a s i ˈ t a i n,a s i t A i n
Acitain,a θ i ˈ t a i n,a θ i t A i n
Acle,ˈ a k l e,A k l e
Aco,ˈ a k o,A k o
Acoegui,a k o ˈ e ɣ i,a k o E ɣ i
Acolanaga,a k o l a ˈ n a ɣ a,a k o l a n A ɣ a
Aconcagua,a k o ŋ ˈ k a ɣ w a,a k o ŋ k A ɣ w a
Acorda,a ˈ k o ɾ ð a,a k O ɾ ð a
Acordaechezuria,a ˌ k o ɾ ð a e t ʃ e ˈ s u r j a,a ˌ k o ɾ ð a e t ʃ e s U r j a
Acordaechezuria,a ˌ k o ɾ ð a e t ʃ e ˈ θ u r j a,a ˌ k o ɾ ð a e t ʃ e θ U r j a
Acordagoicoechea,a ˌ k o ɾ ð a ɣ o j k o e ˈ t ʃ e a,a ˌ k o ɾ ð a ɣ o j k o e t ʃ E a
Acordagoitia,a ˌ k o ɾ ð a ˈ ɣ o j t j a,a ˌ k o ɾ ð a ɣ O j t j a
Acordanagoitia,a ˌ k o ɾ ð a n a ˈ ɣ o j t j a,a ˌ k o ɾ ð a n a ɣ O j t j a
Acordarrementeria,a ˌ k o ɾ ð a r e m e n̪ t e ˈ ɾ j a,a ˌ k o ɾ ð a r e m e n̪ t e ɾ j A
Acosta,a ˈ k o s t a,a k O s t a
Acotegui,a k o ˈ t e ɣ i,a k o t E ɣ i
Acre,ˈ a k r e,A k r e
Acrisio,a ˈ k ɾ i s j o,a k ɾ I s j o
Acriz,a ˈ k ɾ i s,a k ɾ I s
Acriz,a ˈ k ɾ i θ,a k ɾ I θ
Acundegui,a k u n̪ ˈ d e ɣ i,a k u n̪ d E ɣ i
Acurio,a ˈ k u ɾ j o,a k U ɾ j o
Acuriogogeascoa,a ˌ k u ɾ j o ɣ o ɣ e a s ˈ k o a,a ˌ k u ɾ j o ɣ o ɣ e a s k O a
Acuriola,a k u ˈ ɾ j o l a,a k u ɾ j O l a
Acutain,a k u ˈ t a i n,a k u t A i n
Acuña,a ˈ k u ɲ a,a k U ɲ a
Ada,ˈ a ð a,A ð a
Adadia,a ˈ ð a ð j a,a ð A ð j a
Adagorri,a ð a ɣ o r i,a ð a ɣ o r i
Adagoya,a ð a ˈ ɣ o ʝ a,a ð a ɣ O ʝ a
Adai,a ˈ ð a j,a ð A j
Adalberto,a ð a l ˈ b e ɾ t o,a ð a l b E ɾ t o
Adam,a ˈ ð a m,a ð A m
Adamstown,a ˈ ð a m s t a ʊ̯ n,a ð A m s t a ʊ̯ n
Adamuz,a ð a ˈ m u θ,a ð a m U θ
Adamuz,a ð a ˈ m u s,a ð a m U s
Adan,a ˈ ð a n,a ð A n
Adana,a ˈ ð a n a,a ð A n a
Adansa,a ˈ ð a n s a,a ð A n s a
Adanza,a ˈ ð a n̪ θ a,a ð A n̪ θ a
Adanza,a ˈ ð a n s a,a ð A n s a
Adanzabal,a ð a n ˈ s a β a l,a ð a n s A β a l
Adanzabal,a ð a n̪ ˈ θ a β a l,a ð a n̪ θ A β a l
Adapazari,a ð a p a ˈ θ a ɾ i,a ð a p a θ A ɾ i
Adaro,a ˈ ð a ɾ o,a ð A ɾ o
Adaros,a ˈ ð a ɾ o s,a ð A ɾ o s
Adarraga,a ð a ˈ r a ɣ a,a ð a r A ɣ a
Adarreta,a ð a ˈ r e t a,a ð a r E t a
Adarzua,a ˈ ð a ɾ s w a,a ð A ɾ s w a
Adarzua,a ˈ ð a ɾ θ w a,a ð A ɾ θ w a
Adasme,a ˈ ð a s m e,a ð A s m e
Ade,ˈ a ð e,A ð e
Adela,a ˈ ð e l a,a ð E l a
Adelaida,a ð e ˈ l a j ð a,a ð e l A j ð a
Adelia,a ˈ ð e l j a,a ð E l j a
Adelina,a ð e ˈ l i n a,a ð e l I n a
Adelio,a ˈ ð e l j o,a ð E l j o
Adelita,a ð e ˈ l i t a,a ð e l I t a
Adema,a ˈ ð e m a,a ð E m a
Ademir,a ð e ˈ m i ɾ,a ð e m I ɾ
Adila,a ˈ ð i l a,a ð I l a
Adin,a ð i n,a ð i n
Administración,a ð m i n i s t ɾ a ˈ θ j o n,a ð m i n i s t ɾ a θ j O n
Administración,a ð m i n i s t ɾ a ˈ s j o n,a ð m i n i s t ɾ a s j O n
Ado,ˈ a ð o,A ð o
Ado-Ekiti,a ð o e ˈ k i t i,a ð o e k I t i
Adolfito,a ð o l ˈ f i t o,a ð o l f I t o
Adolfo,a ð o l f o,a ð o l f o
Adonis,a ˈ ð o n i s,a ð O n i s
Adoriaga,a ð o ˈ ɾ j a ɣ a,a ð o ɾ j A ɣ a
Adorriaga,a ð o ˈ r j a ɣ a,a ð o r j A ɣ a
Adra,ˈ a ð ɾ a,A ð ɾ a
Adria,ˈ a ð ɾ j a,A ð ɾ j a
Adriana,a ˈ ð ɾ j a n a,a ð ɾ j A n a
Adriano,a ˈ ð ɾ j a n o,a ð ɾ j A n o
Aduna,a ˈ ð u n a,a ð U n a
Adunibar,a ð u n i ˈ β a ɾ,a ð u n i β A ɾ
Adurraga,a ð u ˈ r a ɣ a,a ð u r A ɣ a
Adurriaga,a ð u ˈ r j a ɤ a,a ð u r j A ɤ a
Advíncula,a ð ˈ β i ŋ k u l a,a ð β I ŋ k u l a
Adzaria,a d ˈ θ a ɾ j a,a d θ A ɾ j a
Adán,a ˈ ð a ŋ,a ð A ŋ
Adén,a ˈ ð e n,a ð E n
Aena,a ˈ e n a,a E n a
Afamia,a ˈ f a m j a,a f A m j a
Afganistán,a f ɣ a n i s ˈ t a n,a f ɣ a n i s t A n
Afrodita,a f ɾ o ˈ ð i t a,a f ɾ o ð I t a
Afula,a ˈ f u l a,a f U l a
Agadir,a ɣ a ˈ ð i r,a ɣ a ð I r
Agamenón,a ɣ a m e ˈ n o n,a ɣ a m e n O n
Aganduru,a ˈ ɣ a n̪ d u ɾ u,a ɣ A n̪ d u ɾ u
Agapito,a ˈ ɣ a p i t o,a ɣ A p i t o
Agar,ˈ a ɣ a ɾ,A ɣ a ɾ
Agarrabeheres,a ɣ a r a β e ˈ e ɾ e s,a ɣ a r a β e E ɾ e s
Agarraberri,a ɣ a r a ˈ β e r i,a ɣ a r a β E r i
Agarreta,a ɣ a ˈ r e t a,a ɣ a r E t a
Agarri,a ˈ ɣ a r i,a ɣ A r i
Agatagaray,a ɣ a t a ɣ a ˈ ɾ a j,a ɣ a t a ɣ a ɾ A j
Agaña,a ˈ ɣ a ɲ a,a ɣ A ɲ a
Ageo,a ˈ x e o,a x E o
Agero,a ˈ x e ɾ o,a x E ɾ o
Agesta,a ˈ x e s t a,a x E s t a
Aginalde,a x i ˈ n a l ð e,a x i n A l ð e
Aginayalde,a x i n a ˈ ʝ a l ð e,a x i n a ʝ A l ð e
Aginaza,a x i ˈ n a θ a,a x i n A θ a
Aginaza,a x i ˈ n a s a,a x i n A s a
Agoreta,a ɣ o ˈ ɾ e t a,a ɣ o ɾ E t a
Agorraga,a ɣ o ˈ r a ɣ a,a ɣ o r A ɣ a
Agorrea,a ɣ o ˈ r e a,a ɣ o r E a
Agorreca,a ɣ o ˈ r e k a,a ɣ o r E k a
Agorreta,a ɣ o ˈ r e t a,a ɣ o r E t a
Agorria,a ˈ ɣ o r j a,a ɣ O r j a
Agote,a ˈ ɣ o t e,a ɣ O t e
Agra,ˈ a ɣ ɾ a,A ɣ ɾ a
Agrigento,a ɣ ɾ i ˈ x e n t o,a ɣ ɾ i x E n t o
Aguado,a ˈ ɣ w a ð o,a ɣ w A ð o
Aguadulce,a ɣ w a ˈ ð u l θ e,a ɣ w a ð U l θ e
Aguadulce,a ɣ w a ˈ ð u l s e,a ɣ w a ð U l s e
Aguas,ˈ a ɰ w a s̺,A ɰ w a s̺
Aguascalientes,ä ɰ w ä s k ä ˈ l i e̞ n t̪ e̞ z̥,ä ɰ w ä s k ä l I e̞ n t̪ e̞ z̥
Aguerre,a ˈ ɣ w e r e,a ɣ w E r e
Aguerrigoyen,a ɣ e r i ˈ ɣ o ʝ e n,a ɣ e r i ɣ O ʝ e n
Aguerrondo,a ɣ e ˈ r o n̪ d o,a ɣ e r O n̪ d o
Aguierri,a ˈ ɣ j e r i,a ɣ j E r i
Aguilar,a ɣ i ˈ l a ɾ,a ɣ i l A ɾ
Aguilera,a ɣ i ˈ l e ɾ a,a ɣ i l E ɾ a
Aguileta,a ɣ i ˈ l e t a,a ɣ i l E t a
Aguillón,a ɣ i ˈ ʝ o n,a ɣ i ʝ O n
Aguillón,a ɣ i ˈ ʎ o n,a ɣ i ʎ O n
Aguiló,a ɣ i ˈ l o,a ɣ i l O
Aguina,a ˈ ɣ i n a,a ɣ I n a
Aguinaco,a ɣ i ˈ n a k o,a ɣ i n A k o
Aguinaga,a ɣ i ˈ n a ɣ a,a ɣ i n A ɣ a
Aguinagalde,a ɣ i n a ˈ ɣ a l d e,a ɣ i n a ɣ A l d e
Aguinago,a ɣ i ˈ n a ɣ o,a ɣ i n A ɣ o
Aguinalde,a ɣ i ˈ n a l d e,a ɣ i n A l d e
Aguino,a ˈ ɣ i n o,a ɣ I n o
Aguirralde,a ɣ i ˈ r a l d e,a ɣ i r A l d e
Aguirre,a ˈ ɣ i r e,a ɣ I r e
Agustina,a ɣ u s ˈ t i n a,a ɣ u s t I n a
Agustín,a ɰ u s ˈ t i n,a ɰ u s t I n
Agüitas,ä ˈ ɰ w i t̪ ä s̺,ä ɰ w I t̪ ä s̺
Ahmadnagar,a h m a d n a ˈ ɣ a r,a h m a d n a ɣ A r
Ahumada,a u ˈ m a ð a,a u m A ð a
Ahvaz,a h ˈ β a θ,a h β A θ
Aix-en-Provence,e k s ɑ̃ p ʁ o v ɑ̃ s,e k s ɑ̃ p ʁ o v ɑ̃ s
Aizuwakamatsu,a j θ u w a k a ˈ m a t s u,a j θ u w a k a m A t s u
Ajlun,a ˈ x l u n,a x l U n
Ajmer,a x ˈ m e ɾ,a x m E ɾ
Akashi,a ˈ k a ʃ i,a k A ʃ i
Akita,a ˈ k i t a,a k I t a
Akka,ˈ a k k a,A k k a
Akmola,a k ˈ m o l a,a k m O l a
Akola,a ˈ k o l a,a k O l a
Akron,ˈ e ɪ k r o n,E ɪ k r o n
Aktjubinsk,a k t x u β ˈ i n s k,a k t x u β I n s k
Akyab,ˈ a k ʝ a b,A k ʝ a b
Ala,ˈ a l a,A l a
Alabama,a l a ˈ β a m a,a l a β A m a
Aladino,a l a ˈ ð i n o,a l a ð I n o
Alajuela,a l a ˈ x w e l a,a l a x w E l a
Alamogordo,a l a m o ˈ ɣ o ɾ ð o,a l a m o ɣ O ɾ ð o
Alamosa,a l a ˈ m o s a,a l a m O s a
Alaska,a ˈ l a s k a,a l A s k a
Albacete,a l β a ˈ θ e t e,a l β a θ E t e
Albacete,a l β a ˈ s e t e,a l β a s E t e
Albania,a l ˈ β a n j a,a l β A n j a
Albany,a l ˈ β a n i,a l β A n i
Alberto,a l ˈ β e ɾ t o,a l β E ɾ t o
Alborg,a l ˈ β o r g,a l β O r g
Albuquerque,a l β u ˈ k e ɾ k e,a l β u k E ɾ k e
Alcameluz,a l k a m e ˈ l u θ,a l k a m e l U θ
Alcameluz,a l k a m e ˈ l u s,a l k a m e l U s
Alcazarquivir,a l k a θ a ɾ k i ˈ β i ɾ,a l k a θ a ɾ k i β I ɾ
Alcazarseguir,a l k a θ a ɾ s e ˈ γ i ɾ,a l k a θ a ɾ s e γ I ɾ
Alcorcón,a l k o ɾ ˈ k o n,a l k o ɾ k O n
Alcozar,a l k o ˈ θ a ɾ,a l k o θ A ɾ
Alcántara,a l ˈ k a n t a ɾ a,a l k A n t a ɾ a
Aldeir,a l ˈ ð e j ɾ,a l ð E j ɾ
Alejandro,a l e ˈ x a n d ɾ o,a l e x A n d ɾ o
Alejandría,a l e x a n ˈ d ɾ i a,a l e x a n d ɾ I a
Alejo,a ˈ l e x o,a l E x o
Alemania,a l e ˈ m a n j a,a l e m A n j a
Alepo,a ˈ l e p o,a l E p o
Alessandria,a l e z a n ˈ d ɾ i a,a l e z a n d ɾ I a
Alexandria,a l e x a n ˈ d ɾ i a,a l e x a n d ɾ I a
Alfredo,a l ˈ f ɾ e ð o,a l f ɾ E ð o
Algeciras,a l x e ˈ θ i ɾ a s,a l x e θ I ɾ a s
Alhuceima,a l u ˈ θ e j m a,a l u θ E j m a
Alicante,A l i ˈ k a n t e,A l i k A n t e
Aligarth,a l i ɣ a ɾ ˈ θ,a l i ɣ a ɾ ˈ θ
Allentown,a l ˈ l e n t a ʊ̯ n,a l l E n t a ʊ̯ n
Allepey,a l l e ˈ p e i,a l l e p E i
Almaty,a l m a ˈ t i,a l m a t I
Almendral,a l m e n̪ ˈ d ɾ a l,a l m e n̪ d ɾ A l
Almería,a l m e ˈ ɾ i a,a l m e ɾ I a
Almoguera,a l m o ˈ ɣ e ɾ a,a l m o ɣ E ɾ a
Alofi,a l o ˈ f i,a l o f I
Altísimo,a l ˈ t i s i m o,a l t I s i m o
Alzheimer,a l t s ˈ x a j m e ɾ,a l t s x A j m e ɾ
Alá,a ˈ l a,a l A
Amagasaki,a m a ɣ a ˈ s a k i,a m a ɣ a s A k i
Amanda,a ˈ m a n d a,a m A n d a
Amarillo,a m a ˈ ɾ i λ o,a m a ɾ I λ o
Amazonas,a m a ˈ s o n a s,a m a s O n a s
Amazonas,a m a ˈ θ o n a s,a m a θ O n a s
Amazonia,a m a ˈ s o n j a,a m a s O n j a
Amazonias,a m a ˈ s o n j a s,a m a s O n j a s
Amazonias,a m a ˈ θ o n j a s,a m a θ O n j a s
Amazonía,a m a s o ˈ n i a,a m a s o n I a
Amazonías,a m a θ o ˈ n i a s,a m a θ o n I a s
Amazonías,a m a s o ˈ n i a s,a m a s o n I a s
Amberes,a m ˈ b e ɾ e s,a m b E ɾ e s
Ammán,a m ˈ m a n,a m m A n
Amrawati,a m r a ˈ w a t i,a m r a w A t i
Amsterdam,a m s t e ɾ ˈ ð a m,a m s t e ɾ ð A m
Amán,a ˈ m a n,a m A n
América,a ˈ m e ɾ i k a,a m E ɾ i k a
Américas,a ˈ m e ɾ i k a s,a m E ɾ i k a s
Amós,a ˈ m o s,a m O s
Ana,ˈ a n a,A n a
Anaba,a ˈ n a β a,a n A β a
Anastasia,a n a s ˈ t̪ a s j a,a n a s t̪ A s j a
Anchorage,ɑ n t ʃ ɒ ɾ æ ʒ,ɑ n t ʃ ɒ ɾ æ ʒ
Ancud,a ŋ ˈ k u d,a ŋ k U d
Andalucía,a n d a l u ˈ s i a,a n d a l u s I a
Andizan,a n ˈ d i s a n,a n d I s a n
Ando,ˈ a n̪ d o,A n̪ d o
Andorra,a n ˈ d o r a,a n d O r a
Andrea,a n ˈ d r e a s,a n d r E a s
Andrés,a n ˈ d ɾ e s,a n d ɾ E s
Andõng,a n ˈ d o ŋ g,a n d O ŋ g
Anfibios,a ɱ ˈ f i β j o s,a ɱ f I β j o s
Angarsk,a ŋ g a ɾ ˈ s k,a ŋ g a ɾ ˈ s k
Angers,a ŋ ˈ g e ɾ s,a ŋ g E ɾ s
Angol,a ŋ ˈ g o l,a ŋ g O l
Angola,a ŋ ˈ g o l a,a ŋ g O l a
Angora,a ŋ ˈ g o ɾ a,a ŋ g O ɾ a
Anguila,a ŋ ˈ g i l a,a ŋ g I l a
Anguiliformes,ˌ a ŋ g i l i ˈ f o ɾ m e s,ˌ a ŋ g i l i f O ɾ m e s
Angulema,a ŋ g u ˈ l e m a,a ŋ g u l E m a
Ankara,a ŋ ˈ k a ɾ a,a ŋ k A ɾ a
Annaba,a n ˈ n a β a,a n n A β a
Anopla,a ˈ n o p l a,a n O p l a
Anqing,a ŋ ˈ k i ŋ g,a ŋ k I ŋ g
Anshan,ˈ a n ʃ a n,A n ʃ a n
Antalya,a n̪ ˈ t a l ʝ a,a n̪ t A l ʝ a
Antananarivo,a n̪ t a n a n a ˈ ɾ i β o,a n̪ t a n a n a ɾ I β o
Antigüedad,a n t i ɰ w e ˈ ð a ð,a n t i ɰ w e ð A ð
Antillas,a n̪ ˈ t i λ a s,a n̪ t I λ a s
Antioquia,a n̪ ˈ t j o k j a,a n̪ t j O k j a
Antioquía,a n̪ t j o ˈ k i a,a n̪ t j o k I a
Antofagasta,a n̪ t o f a ˈ ɣ a s t a,a n̪ t o f a ɣ A s t a
Antonio,a n ˈ t o n j o,a n t O n j o
Antonito,a n̪ t o ˈ n i t o,a n̪ t o n I t o
Antropoceno,ˌ a n t ɾ o p o ˈ s e n o,ˌ a n t ɾ o p o s E n o
Antsiranana,a n̪ t s i ɾ a ˈ n a n a,a n̪ t s i ɾ a n A n a
Antártica,a n̪ ˈ t a r t i k a,a n̪ t A r t i k a
Antártico,a n̪ ˈ t a ɾ t i k o,a n̪ t A ɾ t i k o
Antártida,a n̪ ˈ t a r t i ð a,a n̪ t A r t i ð a
Anuros,a ˈ n u ɾ o s,a n U ɾ o s
Anyang,a ɲ ˈ ʝ a ŋ g,a ɲ ʝ A ŋ g
Anzero-Sudzensk,a n̪ ˈ θ e ɾ o s u d θ ˈ e n s k,a n̪ θ E ɾ o s u d θ E n s k
Aomori,a o ˈ m o ɾ i,a o m O ɾ i
Apeldoorn,a p e l d o ˈ o ɾ n,a p e l d o O ɾ n
Apeninos,a p e ˈ n i n o s,a p e n I n o s
Aphamea,a f a ˈ m e a,a f a m E a
Apia,ˈ a p j a,A p j a
Apocalipsis,a p o k a l i p s i s,a p o k a l i p s i s
Apolo,a ˈ p o l o,a p O l o
Apucarana,a p u k a ˈ ɾ a n a,a p u k a ɾ A n a
Apulia,a ˈ p u l j a,a p U l j a
Apure,a ˈ p u ɾ e,a p U ɾ e
Aqaba,ˈ a k b a,A k b a
Aquilea,a k i ˈ l e a,a k i l E a
Aquisgrán,a k i z ˈ ɣ ɾ a n,a k i z ɣ ɾ A n
Arabia,a ˈ ɾ a β j a,a ɾ A β j a
Arad,a ˈ ɾ a d,a ɾ A d
Aragua,a ˈ ɾ a ɣ w a,a ɾ A ɣ w a
Aragón,a ɾ a ˈ ɰ o n,a ɾ a ɰ O n
Arana,a ˈ ɾ a n a,a ɾ A n a
Araraquara,a ɾ a ɾ a ˈ k w a ɾ a,a ɾ a ɾ a k w A ɾ a
Arauca,a ˈ ɾ a w k a,a ɾ A w k a
Araucanía,a ɾ a w k a ˈ n i a,a ɾ a w k a n I a
Araçatuba,a ɾ a t s a ˈ t u β a,a ɾ a t s a t U β a
Arbelas,a ɾ ˈ β e l a s,a ɾ β E l a s
Arbil,a ɾ ˈ β i l,a ɾ β I l
Archipiélago,ˌ a ɾ t ʃ i ˈ p j e l a ɰ o,ˌ a ɾ t ʃ i p j E l a ɰ o
